iter	MultiClass
394	0.2964339466
395	0.2959285981
396	0.2957384601
397	0.2954432532
398	0.2950224351
399	0.2948740445
400	0.2946896539
401	0.2945133622
402	0.2944137204
403	0.2942417623
404	0.2940373903
405	0.2936398929
406	0.293415782
407	0.2932505173
408	0.29289788
409	0.2926589075
410	0.2925827293
411	0.292501863
412	0.2920811373
413	0.2918786553
414	0.2918148439
415	0.2916902572
416	0.2915505611
417	0.2912780038
418	0.2910160319
419	0.2908002048
420	0.2907238425
421	0.2904128026
422	0.2903444322
423	0.2900750498
424	0.2895889311
425	0.2894347097
426	0.2892768406
427	0.2891287206
428	0.2888826912
429	0.2886472972
430	0.2884902704
431	0.288334678
432	0.2881792037
433	0.2879884902
434	0.2878510515
435	0.2871355455
436	0.2869168672
437	0.2867408983
438	0.2864672061
439	0.2862286995
440	0.2858520938
441	0.2855139836
442	0.2850372674
443	0.2849782683
444	0.2847555016
445	0.28459131
446	0.2843328913
447	0.2841008443
448	0.2837943381
449	0.2835264935
450	0.2832423023
451	0.2830133514
452	0.2827379487
453	0.2821689539
454	0.282015659
455	0.2818173632
456	0.2817628308
457	0.281565414
458	0.2811305921
459	0.2810672935
460	0.2809407614
461	0.2806364713
462	0.2804226333
463	0.2803348446
464	0.2798913665
465	0.2797743187
466	0.2796841954
467	0.2793584283
468	0.2788285028
469	0.2787693601
470	0.2785018413
471	0.2780379783
472	0.2779362018
473	0.2778500577
474	0.2774709711
475	0.2773484114
476	0.277174649
477	0.2770630584
478	0.2768585405
479	0.2765860431
480	0.276460193
481	0.2762464727
482	0.2761384346
483	0.2760560248
484	0.2756563703
485	0.2753525244
486	0.2751693553
487	0.2750406857
488	0.274751358
489	0.2744710382
490	0.2740002707
491	0.2739324341
492	0.2736323775
493	0.2734667731
494	0.2733542798
495	0.2731415054
496	0.2730573528
497	0.2726508601
498	0.2725475143
499	0.272364616
